Mean,S.D,Variance,Kurtotis,Skewness,Entrophy,Class
0.266031798,45.32018916,1026.959773,329.6802964,501.6020349,58.35617946,0
0.288875549,48.47277769,1174.805088,309.9456438,485.1824342,60.2809325,0
5.656766492,759.0734905,288096.282,288.0636836,455.353913,63.95487367,0
1.475910012,178.450667,15922.32028,177.1226845,363.1041695,73.83644072,0
1.266086918,207.5090233,21529.99738,290.4043925,470.9132927,59.53697589,0
0.266974046,45.43679624,1032.251226,327.3403437,499.4005286,58.65246818,0
0.166042858,28.43178121,404.1830914,326.3841868,498.7642672,60.10537239,0
0.29340722,49.45432809,1222.865284,321.2907819,493.0208239,57.80257355,0
0.461486403,77.19498351,2979.532739,319.5326958,492.1041149,57.29156132,0
0.52260851,86.97307345,3782.157753,316.9181928,489.7905356,57.44185696,0
0.453069662,78.74385817,3100.2976,350.1551468,516.4831749,57.30594469,0
0.801938304,141.756601,10047.46696,324.0305692,498.8595552,54.19546788,0
0.889515644,152.4912102,11626.7846,336.46958,506.8099545,57.78954976,0
1.057499114,182.0393405,16569.16075,327.2478572,499.7678895,58.04355193,0
1.449500311,250.7949989,31449.06575,344.8517404,512.8501211,57.6380293,0
1.636325432,267.500506,35778.26035,339.2810777,509.5670607,62.44112593,0
1.60548284,274.623072,37708.91584,325.5697061,498.1065868,57.16656182,0
1.712000945,291.3254134,42435.24826,319.3752573,493.856365,58.00430311,0
1.726359868,292.713437,42840.5781,317.8017585,492.7180993,57.96509597,0
1.919968122,322.7201735,52074.1552,311.2106147,487.5438161,57.67211372,0
2.297992411,386.9703022,74873.00739,313.5027255,490.5037844,56.94218353,0
2.901913498,560.2405423,156934.7326,459.6581311,595.3342265,50.25757582,0
2.285328782,386.5473485,74709.4263,323.1442194,497.1623116,57.49396233,0
2.203675358,374.6492595,70181.03381,327.1457883,500.3042865,57.9915766,0
2.161280383,365.0849055,66643.49411,315.587524,491.5307669,57.2784308,0
3.105091764,511.4944243,130813.273,301.3809682,480.5003848,56.10293792,0
3.87691229,605.3025127,183195.566,302.0530069,481.5453654,57.67602583,0
5.191994732,834.1535116,347906.0405,275.1304642,459.3846222,57.28288496,0
5.137778743,834.2565881,347992.0274,287.2256037,469.5165008,56.03776053,0
3.019432106,495.4102773,122715.6714,292.5162171,473.3238955,58.38134311,0
1.712048548,288.097215,41500.00264,315.6245718,491.8409747,58.27532093,0
1.773608018,298.3339314,44501.56731,310.7078383,487.6452021,58.62133107,0
