Mean,S.D1,Variance,Kurtotis1,Skew1,Entrophy1,Class
0.264968769,45.39769746,1030.475467,337.3797483,507.5341104,58.92633196,0
0.289730046,48.99045184,1200.032186,323.5911471,496.3000167,58.34037391,0
5.867649533,779.8980616,304120.4932,271.3764108,441.8640669,63.33738777,0
1.487244877,190.016504,18053.13589,193.3723151,380.3651833,72.3484825,0
1.260991044,207.2100974,21468.01223,292.1590821,472.2972148,59.43690123,0
0.266576173,45.35565417,1028.567683,326.9933173,499.2598382,58.4840256,0
0.165948785,28.61351004,409.3664783,342.0490616,511.1011954,58.79543961,0
0.305380469,48.61779518,1181.845004,332.9743381,502.7708374,73.30951971,0
0.465338805,77.2667624,2985.076286,309.2212361,483.8720303,56.64015625,0
0.526927877,87.03995232,3787.97665,305.8015404,481.1006411,56.87785767,0
0.453276723,78.28153618,3063.999453,341.9179449,509.8448281,57.12558551,0
0.798294461,136.8437555,9363.106708,333.0073782,503.3064937,57.15611368,0
0.888965957,152.6343489,11648.62223,335.1818084,506.0790734,56.72936139,0
1.056938125,183.0966772,16762.19661,342.9096912,512.0382393,57.06427333,0
1.464079718,251.664444,31667.49619,331.8999293,503.0855275,57.91741396,0
1.546579127,266.1375032,35414.58529,336.8112358,507.5937011,57.42160446,0
1.595943593,271.5717552,36875.60912,323.5340632,497.0196957,58.11980209,0
1.784448698,286.7729286,41119.3563,328.4361243,501.5051046,63.02090423,0
1.712733218,290.5160557,42199.78932,312.3104698,488.6790343,58.59941196,0
1.91888325,324.1703315,52543.2019,320.2208088,494.9045368,58.01975866,0
2.407875134,383.1297021,73394.18432,317.8028135,493.5112806,60.66306805,0
2.335448756,394.0481906,77636.98824,314.852313,491.5385607,56.8995949,0
2.466129291,413.2684155,85395.39161,350.840105,522.2200773,58.46781439,0
2.214380739,374.6387336,70177.09035,316.2959749,491.9730747,57.14794345,0
2.148114661,365.8096367,66908.34514,328.5094835,501.3272242,57.93486856,0
3.107485264,510.1309503,130116.7932,296.0071775,476.8848029,55.72264022,0
3.714588317,612.2057837,187397.9608,296.8069181,477.8794889,55.72324516,0
5.178911577,831.0175577,345295.0906,274.5029072,459.2821109,57.69444043,0
5.088472649,840.1834275,352954.0959,290.3962723,471.3034229,56.96187681,0
3.011941218,498.3536136,124178.1621,307.8206683,485.9431537,55.91347931,0
1.719211317,289.2141775,41822.42023,312.6491431,488.8234189,58.75885245,0
1.768167496,298.8044061,44642.03656,320.7541803,495.4138887,58.06200047,0
1.682439946,282.5020246,39903.69696,304.9330222,483.0856235,58.99443549,0
1.773244149,299.2837579,44785.38386,319.7196409,494.7307833,57.89911353,0
2.600977081,430.871813,92825.2596,309.9372944,486.5768412,56.50487424,0
1.814644624,301.7298232,45520.4431,295.8994713,476.3350533,59.15676724,0
1.783022798,297.1094767,44137.02056,302.5411126,481.4764106,58.52310666,0
1.006924721,173.2377013,15005.65057,335.8798027,507.0426257,57.99039005,0
1.103024089,188.6778438,17799.66438,321.0986276,495.3022366,57.96326598,0
0.394087242,68.62607426,2354.769034,347.7030965,514.0226021,57.30068251,0
